Holiday,Date,Subtitle
NEW YEAR'S DAY,2025-01-01,
AUSTRALIA DAY,2025-01-26,
LABOUR DAY (WA),2025-03-03,
CANBERRA/LABOUR DAY,2025-03-10,
ANZAC DAY,2025-04-25,
LABOUR DAY (QLD),2025-05-05,
LABOUR DAY (QLD),2025-10-06,"ACT, NSW, SA"
LABOUR DAY (QLD),"2025-03-10
","Tasmania, Victoria"
MAY DAY (NT),2025-05-05,
RECONCILIATION DAY (ACT),2025-06-02,
WESTERN AUSTRALIA DAY,2025-06-02,
QUEEN'S BIRTHDAY,2025-06-09,
KING'S BIRTHDAY,2025-06-06,"Cocos, Keeling Islands"
KING'S BIRTHDAY,2025-06-09,"ACT, Heard, McDonald Islands, NSW, NT, SA, Tas, Vic"
KING'S BIRTHDAY ,2025-10-06,Queensland
QUEEN'S BIRTHDAY (WA),,
KING'S BIRTHDAY (WA),2025-09-22,
KING'S / QUEENS BIRTHDAY (QLD),,
CHRISTMAS DAY,2025-12-25,
BOXING DAY,2025-12-26,
