Holiday,Date
HALLOWEEN,2023-10-31
DAYLIGHT SAVING (END),2023-11-05
VETERANS DAY,2023-11-11
THANKSGIVING,2023-11-23
CHRISTMAS DAY,2023-12-25
KWANZAA BEGINS,2023-12-26
,
,
,
NEW YEAR'S DAY,2024-01-01
MLK JR. DAY,2024-01-15
GROUNDHOG DAY,2024-02-02
LUNAR NEW YEAR,2024-02-10
VALENTINE'S DAY,2024-02-14
PRESIDENTS' DAY,2024-02-19
DAYLIGHT SAVING (START),2024-03-10
ST. PATRICK'S DAY,2024-03-17
APRIL FOOL'S DAY,2024-04-01
TAX DAY,2024-04-15
EARTH DAY,2024-04-22
CINCO DE MAYO,2024-05-05
MOTHER'S DAY,2024-05-12
ARMED FORCES DAY,2024-05-20
MEMORIAL DAY,2024-05-27
FLAG DAY,2024-06-14
FATHER'S DAY,2024-06-16
JUNETEENTH,2024-06-19
INDEPENDENCE DAY,2024-07-04
LABOR DAY,2024-09-02
PATRIOT DAY,2024-09-11
COLUMBUS DAY,2024-10-14
INDIGENOUS PEOPLES' DAY,2024-10-14
HALLOWEEN,2024-10-31
DAYLIGHT SAVING (END),2024-11-03
VETERANS DAY,2024-11-11
THANKSGIVING,2024-11-28
NATIVE AMERICAN HERITAGE DAY,2024-11-29
KWANZAA BEGINS,2024-12-26
NEW YEAR'S EVE,2024-12-31
,
,
NEW YEAR'S DAY,2025-01-01
MLK JR. DAY,2025-01-01
GROUNDHOG DAY,2025-01-20
LUNAR NEW YEAR,2025-01-29
VALENTINE'S DAY,2025-02-14
PRESIDENTS' DAY,2025-02-17
DAYLIGHT SAVING (START),2025-03-09
ST. PATRICK'S DAY,2025-03-17
APRIL FOOL'S DAY,2025-04-01
