Holiday,Date,
DAYLIGHT SAVINGS ENDS,2023-10-29,
HALLOWEEN,2023-10-31,
CHRISTMAS DAY,2023-12-25,
BOXING DAY,2023-12-26,
NEW YEAR'S EVE,2023-12-31,
,,
,,
NEW YEAR'S DAY,2024-01-01,
LUNAR NEW YEAR,2024-02-10,
VALENTINE'S DAY,2024-02-14,
MOTHER'S DAY,2024-03-10,
DAYLIGHT SAVINGS BEGINS,2024-03-31,
EARLY MAY BANK HOLIDAY,2024-05-06,
SPRING BANK HOLIDAY,2024-05-27,
FATHER'S DAY,2024-06-16,
SUMMER BANK HOLIDAY,2024-08-26,
DAYLIGHT SAVINGS ENDS,2024-10-27,
HALLOWEEN,2024-10-31,
CHRISTMAS DAY,2024-12-25,
BOXING DAY,2024-12-26,
NEW YEAR'S EVE,2024-12-31,
,,
,,
NEW YEAR'S DAY,2025-01-01,
LUNAR NEW YEAR,2025-01-29,
VALENTINE'S DAY,2025-02-14,
MOTHER'S DAY,2025-03-30,
DAYLIGHT SAVINGS BEGINS,2025-03-30,
EARLY MAY BANK HOLIDAY,2025-05-05,
SPRING BANK HOLIDAY,2025-05-26,
FATHER'S DAY,2025-06-15,
SUMMER BANK HOLIDAY,2025-08-25,
SUMMER BANK HOLIDAY  (Scotland),2025-08-04,
DAYLIGHT SAVINGS ENDS,2025-10-26,
HALLOWEEN,2025-10-31,
CHRISTMAS DAY,2025-12-25,
BOXING DAY,2025-12-26,
NEW YEAR'S EVE,2025-12-31,
,,
,,
NEW YEAR'S DAY,2026-01-01,
LUNAR NEW YEAR,2026-02-17,
VALENTINE'S DAY,2026-02-14,
MOTHER'S DAY,2026-03-15,
DAYLIGHT SAVINGS BEGINS,2026-03-29,
EARLY MAY BANK HOLIDAY,2026-05-04,
SPRING BANK HOLIDAY,2026-05-25,
FATHER'S DAY,2026-06-21,
SUMMER BANK HOLIDAY,2026-08-31,
SUMMER BANK HOLIDAY  (Scotland),2026-08-03,
DAYLIGHT SAVINGS ENDS,2026-10-25,
HALLOWEEN,2026-10-31,
CHRISTMAS DAY,2026-12-25,
BOXING DAY,2026-12-26,
NEW YEAR'S EVE,2026-12-31,
