Holiday,Date
NAVRATRI,2023-10-15
DUSSEHRA,2023-10-24
DIWALI,2023-11-12
,
,
SWAMI VIVEKANANDA JAYANTI,2024-01-12
LOHRI,2024-01-13
MAKAR SANKRANTI,2024-01-15
PONGAL,2024-01-15
VASANT PANCHAMI,2024-02-14
MAHA SHIVARATRI,2024-03-08
HOLI,2024-03-25
VAISAKHI,2024-04-13
RAM NAVAMI,2024-04-17
RAKSHA BANDHAN,2024-08-19
JANMASHTAMI,2024-08-26
GANESH CHATURTHI,2024-09-07
NAVRATRI,2024-10-03
DUSSEHRA,2024-10-12
DIWALI,2024-11-01
,
,
SWAMI VIVEKANANDA JAYANTI,2025-01-12
LOHRI,2025-01-13
MAKAR SANKRANTI,2025-01-14
PONGAL,2025-01-14
VASANT PANCHAMI,2025-02-03
MAHA SHIVARATRI,2025-02-25
HOLI,2025-03-14
VAISAKHI,2025-04-13
RAM NAVAMI,2025-04-06
RAKSHA BANDHAN,2025-08-09
JANMASHTAMI,2025-08-16
GANESH CHATURTHI,2025-08-27
NAVRATRI,2025-09-22
DUSSEHRA,2025-10-01
DIWALI,2025-10-21
,
,
SWAMI VIVEKANANDA JAYANTI,2026-01-12
LOHRI,2026-01-13
MAKAR SANKRANTI,2026-01-14
PONGAL,2026-01-14
VASANT PANCHAMI,2026-01-23
MAHA SHIVARATRI,2026-02-15
HOLI,2026-03-03
VAISAKHI,2026-04-14
RAM NAVAMI,2026-03-27
RAKSHA BANDHAN,2026-08-28
JANMASHTAMI,2026-09-04
GANESH CHATURTHI,2026-09-15
NAVRATRI,2026-10-11
DUSSEHRA,2026-10-20
DIWALI,2026-11-08
