Holiday,Date
ISRA AND MI'RAJ,2024-02-06
RAMADAN BEGINS,2024-03-11
LAYLAT AL QADR,2024-04-06
EID AL-FITR BEGINS,2024-04-09
RAMADAN ENDS,2024-04-09
HAJJ BEGINS,2024-06-14
EID AL-ADHA BEGINS,2024-06-16
HAJJ ENDS,2024-06-19
ISLAMIC NEW YEAR,2024-07-07
ASHURA BEGINS,2024-07-16
MAWLID AL-NABI,2024-09-15
,
,
ISRA AND MI'RAJ,2025-01-26
RAMADAN BEGINS,2025-03-01
LAYLAT AL QADR,2025-03-27
EID AL-FITR BEGINS,2025-03-29
RAMADAN ENDS,2025-03-30
HAJJ BEGINS,2025-06-04
EID AL-ADHA BEGINS,2025-06-07
HAJJ ENDS,2025-06-09
ISLAMIC NEW YEAR,2025-06-26
ASHURA BEGINS,2025-07-05
MAWLID AL-NABI,2025-09-04
,
,
ISRA AND MI'RAJ,2026-01-15
RAMADAN BEGINS,2026-02-17
LAYLAT AL QADR,2026-03-16
EID AL-FITR BEGINS,2026-03-20
RAMADAN ENDS,2026-03-18
HAJJ BEGINS,
EID AL-ADHA BEGINS,2026-05-26
HAJJ ENDS,
ISLAMIC NEW YEAR,2026-06-16
ASHURA BEGINS,2026-06-25
MAWLID AL-NABI,2026-08-26
